iter	Passed	Remaining
0	785	785155
1	793	395754
2	805	267618
3	842	209777
4	852	169707
5	862	142897
6	872	123825
7	945	117209
8	952	104838
9	958	94932
10	980	88188
11	1052	86696
12	1064	80855
13	1080	76108
14	1121	73635
15	1131	69591
16	1142	66051
17	1149	62717
18	1173	60612
19	1231	60325
20	1246	58098
21	1317	58564
22	1325	56285
23	1332	54193
24	1375	53631
25	1393	52209
26	1405	50646
27	1502	52150
28	1511	50592
29	1519	49117
30	1526	47728
31	1709	51722
32	1969	57717
33	1984	56370
34	2155	59421
35	2166	58013
36	2244	58405
37	2260	57215
38	2314	57038
39	2322	55732
40	2345	54860
41	2352	53657
42	2359	52505
43	2365	51400
44	2372	50345
45	2418	50160
46	2425	49174
47	2432	48239
48	2439	47349
49	2540	48273
50	2550	47453
51	2559	46666
52	2617	46765
53	2631	46093
54	2647	45489
55	2682	45218
56	2724	45072
57	2733	44394
58	2740	43706
59	2865	44888
60	2874	44244
61	2882	43612
62	2892	43018
63	3020	44169
64	3041	43749
65	3400	48115
66	3414	47547
67	3432	47049
68	3592	48468
69	3684	48944
70	3798	49695
71	3887	50110
72	3912	49681
73	3922	49087
74	3931	48482
75	3936	47864
76	4027	48279
77	4035	47704
78	4056	47287
79	4164	47891
80	4191	47551
81	4276	47872
82	4284	47335
83	4299	46880
84	4410	47475
85	4419	46974
86	4428	46471
87	4435	45964
88	4587	46956
89	4744	47971
90	4777	47720
91	5034	49684
92	5048	49238
93	5371	51773
94	5385	51299
95	5460	51422
96	5469	50920
97	5483	50468
98	5491	49977
99	5500	49504
100	5512	49065
101	5531	48699
102	5542	48266
103	5551	47827
104	5576	47529
105	5583	47092
106	5605	46778
107	5613	46365
108	5626	45996
109	5634	45588
110	5644	45206
111	5670	44958
112	5691	44674
113	5705	44343
114	5714	43979
115	5722	43606
116	5741	43331
117	5756	43024
118	5767	42695
119	5784	42423
120	5805	42175
121	5811	41826
122	5824	41528
123	5832	41201
124	5852	40966
125	5865	40684
126	5887	40473
127	5897	40178
128	5948	40165
129	5958	39877
130	5972	39617
131	5989	39388
132	6041	39383
133	6052	39114
134	6070	38897
135	6122	38894
136	6134	38645
137	6148	38406
138	6160	38162
139	6265	38489
140	6304	38406
141	6309	38121
142	6316	37854
143	6439	38279
144	6461	38100
145	6473	37864
146	6481	37611
147	6624	38133
148	6636	37903
149	6644	37654
150	6781	38127
